name,iso,id,country,admin_level,category,range_type,range,population,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,population_share,population_interval,population_interval_share
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,30000,1533416,644718,75.84,23087,2.72,75.86,54777,2.71
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,35000,1537205,646312,76.03,1594,0.19,76.05,3789,0.19
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,40000,1538829,646996,76.11,684,0.08,76.13,1624,0.08
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,45000,1539853,647426,76.16,430,0.05,76.18,1024,0.05
Lakshmipur,,16705992B31973889793084,BGD,ADM2,education,DISTANCE,50000,1714571,721052,84.82,73626,8.66,84.83,174718,8.64
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,5000,460602,142158,16.81,142158,16.81,16.82,460602,16.82
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,10000,749254,231232,27.34,89074,10.53,27.35,288652,10.54
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,15000,1022322,315649,37.32,84417,9.98,37.32,273068,9.97
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,20000,1344441,415068,49.08,99419,11.76,49.08,322119,11.76
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,25000,1596521,492908,58.28,77840,9.2,58.28,252080,9.2
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,30000,1677476,517895,61.23,24987,2.95,61.24,80955,2.96
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,35000,1761051,543685,64.28,25790,3.05,64.29,83575,3.05
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,40000,1876485,579305,68.5,35620,4.21,68.5,115434,4.21
Naogaon,,16705992B34203284467157,BGD,ADM2,education,DISTANCE,45000,2049047,632558,74.79,53253,6.3,74.8,172562,6.3
