name,iso,id,country,admin_level,category,range_type,range,population,under_5_population,under_5_population_share,under_5_population_interval,under_5_population_interval_share,school_age_population,school_age_population_share,school_age_population_interval,school_age_population_interval_share,adults_population,adults_population_share,adults_population_interval,adults_population_interval_share,women_childbearing_population,women_childbearing_population_share,women_childbearing_population_interval,women_childbearing_population_interval_share,elderly_population,elderly_population_share,elderly_population_interval,elderly_population_interval_share,population_share,population_interval,population_interval_share
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,3000,376844,42403,70.33,8372,13.89,157100,70.66,31669,14.24,357897,70.5,71912,14.17,100004,70.64,20327,14.36,21895,70.57,4437,14.3,70.51,75756,14.17
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,3600,386521,43508,72.16,1105,1.83,161226,72.52,4126,1.86,367093,72.32,9196,1.81,102561,72.45,2557,1.81,22451,72.36,556,1.79,72.32,9677,1.81
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,4200,388622,43744,72.56,236,0.39,162091,72.91,865,0.39,369088,72.71,1995,0.39,103116,72.84,555,0.39,22573,72.76,122,0.39,72.71,2101,0.39
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,4800,389275,43819,72.68,75,0.12,162360,73.03,269,0.12,369709,72.83,621,0.12,103289,72.96,173,0.12,22611,72.88,38,0.12,72.83,653,0.12
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,5400,405527,45662,75.74,1843,3.06,169064,76.04,6704,3.02,385145,75.87,15436,3.04,107573,75.99,4284,3.03,23554,75.92,943,3.04,75.88,16252,3.04
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,6000,426692,48069,79.73,2407,3.99,177901,80.02,8837,3.97,405252,79.83,20107,3.96,113155,79.93,5582,3.94,24777,79.86,1223,3.94,79.84,21165,3.96
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,6600,427024,48106,79.79,37,0.06,178038,80.08,137,0.06,405568,79.9,316,0.06,113243,79.99,88,0.06,24796,79.92,19,0.06,79.9,332,0.06
Bandarban,,16705992B23463827258150,BGD,ADM2,hospitals,TIME,7200,427723,48186,79.92,80,0.13,178326,80.21,288,0.13,406232,80.03,664,0.13,113427,80.12,184,0.13,24837,80.05,41,0.13,80.03,699,0.13
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,600,1540033,113301,50.42,113301,50.42,503598,50.43,503598,50.43,1421371,50.46,1421371,50.46,464922,50.47,464922,50.47,130709,50.41,130709,50.41,50.46,1540033,50.46
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,1200,2602605,191599,85.27,78298,34.85,851496,85.27,347898,34.84,2401870,85.27,980499,34.81,785501,85.27,320579,34.8,221094,85.26,90385,34.86,85.27,1062572,34.81
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,1800,2940357,216450,96.33,24851,11.06,961964,96.33,110468,11.06,2713562,96.34,311692,11.07,887448,96.34,101947,11.07,249797,96.33,28703,11.07,96.34,337752,11.07
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,2400,3038220,223669,99.54,7219,3.21,994013,99.54,32049,3.21,2803866,99.54,90304,3.21,916967,99.54,29519,3.2,258120,99.54,8323,3.21,99.54,97863,3.21
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,3000,3041853,223937,99.66,268,0.12,995202,99.66,1189,0.12,2807219,99.66,3353,0.12,918063,99.66,1096,0.12,258429,99.66,309,0.12,99.66,3633,0.12
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,3600,3043727,224074,99.72,137,0.06,995815,99.72,613,0.06,2808949,99.72,1730,0.06,918629,99.72,566,0.06,258588,99.72,159,0.06,99.72,1874,0.06
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,4200,3052166,224697,100.0,623,0.28,998578,100.0,2763,0.28,2816735,100.0,7786,0.28,921174,100.0,2545,0.28,259306,100.0,718,0.28,100.0,8439,0.28
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,4800,3052166,224697,100.0,0,0.0,998578,100.0,0,0.0,2816735,100.0,0,0.0,921174,100.0,0,0.0,259306,100.0,0,0.0,100.0,0,0.0
Jessore,,16705992B28022870637862,BGD,ADM2,hospitals,TIME,5400,3052166,224697,100.0,0,0.0,998578,100.0,0,0.0,2816735,100.0,0,0.0,921174,100.0,0,0.0,259306,100.0,0,0.0,100.0,0,0.0
